District,Building name,Last date of visit of the case(s),Related cases
Tsuen Wan,"Block 3, Waterside Plaza",16/07/2022,
Tsuen Wan,Sham Tseng San Tsuen,16/07/2022,
Tsuen Wan,"Block 28, Park Island",16/07/2022,
Tsuen Wan,"Block 2, City Point",16/07/2022,
Tsuen Wan,Pak Tin Pa Tsuen,16/07/2022,
Tsuen Wan,"Block C, Tsuen Tak Gardens",16/07/2022,
Tsuen Wan,"Nanking House, Tsuen Wan Centre",16/07/2022,
Tsuen Wan,Tsuen Fung Building,16/07/2022,
Tsuen Wan,"Block 2, Tsuen Kam Centre",16/07/2022,
Tsuen Wan,"Block 19, Hong Kong Garden",16/07/2022,
Tsuen Wan,"Hoover Heights, Hong Kong Garden",16/07/2022,
Tsuen Wan,Ngar Chi Mansion,16/07/2022,
Tsuen Wan,Hong Kong Adventist Hospital - Tsuen Wan Staff Quarter,16/07/2022,
Tsuen Wan,Golden Villa,16/07/2022,
Tsuen Wan,Ham Tin Tsuen,15/07/2022,
Tsuen Wan,Foo Yu Building,15/07/2022,
Tsuen Wan,Chuen Lung Village,15/07/2022,
Tsuen Wan,"Tower 2, The Dynasty",15/07/2022,
Tsuen Wan,The Rise,15/07/2022,
Tsuen Wan,Chung Kuk Terrace,15/07/2022,
Tsuen Wan,"Tower 1B, The Pavilia Bay",15/07/2022,
Tsuen Wan,"Block 1, Lei Muk Shue Estate",15/07/2022,
Tsuen Wan,294 Sha Tsui Road,15/07/2022,
Tsuen Wan,44 Ho Pui Street,15/07/2022,
Tsuen Wan,56 Ho Pui Street,15/07/2022,
Tsuen Wan,"Tower 10, Ocean Pride",15/07/2022,
Tsuen Wan,"Block 12, Park Island",15/07/2022,
Tsuen Wan,"Block 23, Park Island",15/07/2022,
Tsuen Wan,Dung Fat Mansion,15/07/2022,
Tsuen Wan,"Glory Court, Tsuen Wan Garden",15/07/2022,
Tsuen Wan,"Imperial Heights, Hong Kong Garden",15/07/2022,
Tsuen Wan,421 Castle Peak Road Tsuen Wan,15/07/2022,
Tsuen Wan,Ma Wan Fishermen's Village,15/07/2022,
Tsuen Wan,"Tower 2, Parc City",14/07/2022,
Tsuen Wan,123 Chuen Lung Street,14/07/2022,
Tsuen Wan,"Block 2, Royal Sea Crest, 8 Lung Tang Road, Tsing Lung Tau, Nt",14/07/2022,
Tsuen Wan,"Block 33, Luna Ocean, Park Island Anacapri, 8 Pak Lai Road, Ma Wan, Nt",14/07/2022,
Tsuen Wan,Cheong On Building,14/07/2022,
Tsuen Wan,"Block 11, The Cairnhill",14/07/2022,
Tsuen Wan,"Tower 2A, The Pavilia Bay",14/07/2022,
Tsuen Wan,"Block 4, Lei Muk Shue Estate",14/07/2022,
Tsuen Wan,Wing Tai Building,14/07/2022,
Tsuen Wan,"Tower 8, Bellagio",14/07/2022,
Tsuen Wan,"Wing Hong House, Fuk Loi Estate",14/07/2022,
Tsuen Wan,"Block B, Luk Yeung Sun Chuen",14/07/2022,
Tsuen Wan,"Block 7, Tsuen King Garden",14/07/2022,
Tsuen Wan,"Sau Shan House, Cheung Shan Estate",14/07/2022,
Tsuen Wan,"Block 14, Hong Kong Garden",14/07/2022,
Tsuen Wan,"Block 2, Hong Kong Garden",14/07/2022,
Tsuen Wan,Shield Industrial Centre,14/07/2022,
Tsuen Wan,Tung Lum Buddhist Aged Home,13/07/2022,
Tsuen Wan,Kwong Pan Tin Tsuen,13/07/2022,
Tsuen Wan,"Tower 7, Parc City",13/07/2022,
Tsuen Wan,Wo Yi Hop,13/07/2022,
Tsuen Wan,73 Yeung Uk Road,13/07/2022,
Tsuen Wan,"Block 3, Sea Crest Villa",13/07/2022,
Tsuen Wan,"Block 21, Park Island",13/07/2022,
Tsuen Wan,"Tower 2, Ocean Pointe",13/07/2022,
Tsuen Wan,Winning Heights,13/07/2022,
Tsuen Wan,"Block 1, Lido Garden",13/07/2022,
Tsuen Wan,Cheong Tai Building,12/07/2022,
Tsuen Wan,"Block 10, The Cairnhill",12/07/2022,
Tsuen Wan,232 Sha Tsui Road,12/07/2022,
Tsuen Wan,65 Ho Pui Street,12/07/2022,
Tsuen Wan,"Hoi San Mansion, Riviera Gardens",12/07/2022,
Tsuen Wan,Sham Tseng Light Housing,12/07/2022,
Tsuen Wan,Skyline Plaza,12/07/2022,
Tsuen Wan,"Block 8, City Point",12/07/2022,
Tsuen Wan,"Shek Fong House, Shek Wai Kok Estate",12/07/2022,
Tsuen Wan,"Shek Ho House, Shek Wai Kok Estate",12/07/2022,
Tsuen Wan,Kapok Mansion,12/07/2022,
Tsuen Wan,"Chungking House, Tsuen Wan Centre",12/07/2022,
Tsuen Wan,"Phase 1, Superluck Industrial Centre",12/07/2022,
Tsuen Wan,Kam Fat Building,12/07/2022,
Tsuen Wan,Chin Lung Building,11/07/2022,
Tsuen Wan,335 Wo Yi Hop Road,11/07/2022,
Tsuen Wan,Tak Fam Building,11/07/2022,
Tsuen Wan,"Hoi Ming Mansion, Riviera Gardens",11/07/2022,
Tsuen Wan,"Block 4, Rhine Garden",11/07/2022,
Tsuen Wan,"Sun Ocean, Anacapri, Park Island",11/07/2022,
Tsuen Wan,"Tower 3, Ocean Pointe",11/07/2022,
Tsuen Wan,"Tower 3, Summit Terrace",11/07/2022,
Tsuen Wan,"Block C, Allway Gardens",11/07/2022,
Tsuen Wan,"Block G, Allway Gardens",11/07/2022,
Tsuen Wan,"Kunming House, Tsuen Wan Centre",11/07/2022,
Tsuen Wan,413 Castle Peak Road Tsuen Wan,11/07/2022,
Tsuen Wan,"Tower 3, Phase 1, Belvedere Garden",11/07/2022,
Tsuen Wan,"Tower 5, Lido Garden",11/07/2022,
Tuen Mun,"Ting On House, Siu On Court",24/07/2022,
Tuen Mun,"Yeh King House, Siu Shan Court",24/07/2022,
Tuen Mun,"Siu Kin House, Siu Hong Court",24/07/2022,
Tuen Mun,"Siu Ping House, Siu Hong Court",24/07/2022,
Tuen Mun,"Siu Fai House, Siu Hong Court",24/07/2022,
Tuen Mun,"Siu Yan House, Siu Hong Court",24/07/2022,
Tuen Mun,"Siu Wah House, Siu Hong Court",24/07/2022,
Tuen Mun,"Siu Lai House, Siu Hong Court",24/07/2022,
Tuen Mun,"Siu Fu House, Siu Kwai Court",24/07/2022,
Tuen Mun,"Siu Keung House, Siu Kwai Court",24/07/2022,
Tuen Mun,"Yat Sang House, Siu Hin Court",24/07/2022,
Tuen Mun,"Shun Sang House, Siu Hin Court",24/07/2022,
Tuen Mun,Siu Lung Court,24/07/2022,
Tuen Mun,"Ka Lun House, Siu Lun Court",24/07/2022,
Tuen Mun,"Po Lun House, Siu Lun Court",24/07/2022,
Tuen Mun,"Yuk Lun House, Siu Lun Court",24/07/2022,
Tuen Mun,"Kwai Lun House, Siu Lun Court",24/07/2022,
Tuen Mun,"Ngan Lun House, Siu Lun Court",24/07/2022,
Tuen Mun,"Block 1, Hoi Tak Gardens",24/07/2022,
Tuen Mun,"Block 3, Chelsea Heights",24/07/2022,
Tuen Mun,"Block 5, Nerine Cove",24/07/2022,
Tuen Mun,"Block 6, Nerine Cove",24/07/2022,
Tuen Mun,"Oi Shun House, Yau Oi Estate",24/07/2022,
Tuen Mun,"Oi Lim House, Yau Oi Estate",24/07/2022,
Tuen Mun,"Oi Ming House, Yau Oi Estate",24/07/2022,
Tuen Mun,"Oi Fai House, Yau Oi Estate",24/07/2022,
Tuen Mun,"Oi Hei House, Yau Oi Estate",24/07/2022,
Tuen Mun,"Oi Lok House, Yau Oi Estate",24/07/2022,
Tuen Mun,"Oi Lai House, Yau Oi Estate",24/07/2022,
Tuen Mun,"Block 3, Parkland Villas",24/07/2022,
Tuen Mun,"Block 6, Parkland Villas",24/07/2022,
Tuen Mun,"Block 7, Parkland Villas",24/07/2022,
Tuen Mun,"Block 1, The Sea Crest",24/07/2022,
Tuen Mun,47 Ka Choi Lane,24/07/2022,
Tuen Mun,"Block 1, Phase 2, Tai Hing Gardens",24/07/2022,
Tuen Mun,"Block 4, Phase 2, Tai Hing Gardens",24/07/2022,
Tuen Mun,"Block 5, Phase 2, Tai Hing Gardens",24/07/2022,
Tuen Mun,"Block 9, Phase 2, Tai Hing Gardens",24/07/2022,
Tuen Mun,"Hing Cheung House, Tai Hing Estate",24/07/2022,
Tuen Mun,"Hing Tai House, Tai Hing Estate",24/07/2022,
Tuen Mun,"Hing Yiu House, Tai Hing Estate",24/07/2022,
Tuen Mun,"Hing Fai House, Tai Hing Estate",24/07/2022,
Tuen Mun,"Ting Tak House, On Ting Estate",24/07/2022,
Tuen Mun,"Ting Tai House, On Ting Estate",24/07/2022,
Tuen Mun,"Ting Cheung House, On Ting Estate",24/07/2022,
Tuen Mun,"Block 3, Dragon Inn Court",24/07/2022,
Tuen Mun,"Block 5, Glorious Garden",24/07/2022,
Tuen Mun,"Block 7, Glorious Garden",24/07/2022,
Tuen Mun,"Block 9, Glorious Garden",24/07/2022,
Tuen Mun,"Kin Tai House, Fu Tai Estate",24/07/2022,
Tuen Mun,"Ning Tai House, Fu Tai Estate",24/07/2022,
Tuen Mun,"Yin Tai House, Fu Tai Estate",24/07/2022,
Tuen Mun,"Ying Tai House, Fu Tai Estate",24/07/2022,
Tuen Mun,"Chung Tai House, Fu Tai Estate",24/07/2022,
Tuen Mun,Richmond Garden,24/07/2022,
Tuen Mun,Forward Mansion,24/07/2022,
Tuen Mun,"Block 6, Po Tin Estate",24/07/2022,
Tuen Mun,Siu Hang Tsuen,24/07/2022,
Tuen Mun,Siu Lam Psychiatric Centre Junior Staff Married Quarters,24/07/2022,
Tuen Mun,Tuen Tsz Wai,24/07/2022,
Tuen Mun,Tuen Mun Centre,24/07/2022,
Tuen Mun,"Block 8, Tuen Mun Town Plaza",24/07/2022,
Tuen Mun,Tuen Mun San Tsuen,24/07/2022,
Tuen Mun,"Tower 1, Tuen Mun Wu Hong Police Quarters",24/07/2022,
Tuen Mun,Tuen Mun Fa Yuen,24/07/2022,
Tuen Mun,"King On House, Shan King Estate",24/07/2022,
Tuen Mun,"King Yip House, Shan King Estate",24/07/2022,
Tuen Mun,"King Wing House, Shan King Estate",24/07/2022,
Tuen Mun,"King Lok House, Shan King Estate",24/07/2022,
Tuen Mun,"King Wah House, Shan King Estate",24/07/2022,
Tuen Mun,"King Kwai House, Shan King Estate",24/07/2022,
Tuen Mun,Honley Court,24/07/2022,
Tuen Mun,"Tower 1, Hong Tak Gardens",24/07/2022,
Tuen Mun,"Tower 3, Hong Tak Gardens",24/07/2022,
Tuen Mun,"Block 2, Hong Lai Garden",24/07/2022,
Tuen Mun,"Tai Sang House, Kin Sang Estate",24/07/2022,
Tuen Mun,The Esplanade,24/07/2022,
Tuen Mun,"Block D, Rainbow Garden",24/07/2022,
Tuen Mun,"Tower 1A, Mount Regency",24/07/2022,
Tuen Mun,"Tower 2, Mount Regency",24/07/2022,
Tuen Mun,"Tower 1, Regency Bay",24/07/2022,
Tuen Mun,"Tower 2, Regency Bay",24/07/2022,
Tuen Mun,"Block 3, Elegance Garden",24/07/2022,
Tuen Mun,"Tower 5, Emerald Bay",24/07/2022,
Tuen Mun,"Block 3, Hanford Garden",24/07/2022,
Tuen Mun,"Block 6, Hanford Garden",24/07/2022,
Tuen Mun,"Block 1, Harvest Garden",24/07/2022,
Tuen Mun,"Block 3, Handsome Court",24/07/2022,
Tuen Mun,"Block 7, Handsome Court",24/07/2022,
Tuen Mun,"Block 11, Yuet Wu Villa",24/07/2022,
Tuen Mun,"Block 13, Yuet Wu Villa",24/07/2022,
Tuen Mun,"Block 15, Yuet Wu Villa",24/07/2022,
Tuen Mun,"Block 4, Yuet Wu Villa",24/07/2022,
Tuen Mun,"Block 7, Yuet Wu Villa",24/07/2022,
Tuen Mun,"Block 2, Marina Garden",24/07/2022,
Tuen Mun,"San Hoi House, San Wai Court",24/07/2022,
Tuen Mun,"San Pui House, San Wai Court",24/07/2022,
Tuen Mun,"San Yin House, San Wai Court",24/07/2022,
Tuen Mun,San Hui Village,24/07/2022,
Tuen Mun,"Block 3, Sun Tuen Mun Centre",24/07/2022,
Tuen Mun,"Block 6, Sun Tuen Mun Centre",24/07/2022,
Tuen Mun,"Block 8, Sun Tuen Mun Centre",24/07/2022,
Tuen Mun,"Block 9, Sun Tuen Mun Centre",24/07/2022,
Tuen Mun,Ming Wai Building,24/07/2022,
Tuen Mun,"Block 2, Ming Wong Garden",24/07/2022,
Tuen Mun,"Tower 2, Prime View Garden",24/07/2022,
Tuen Mun,"Block 1, Kingston Terrace",24/07/2022,
Tuen Mun,"Block 4, Kingston Terrace",24/07/2022,
Tuen Mun,To Yuen Wai,24/07/2022,
Tuen Mun,Chick Yuen,24/07/2022,
Tuen Mun,"Chun Tin House, Yan Tin Estate",24/07/2022,
Tuen Mun,"Hei Tin House, Yan Tin Estate",24/07/2022,
Tuen Mun,"Yuet Tin House, Yan Tin Estate",24/07/2022,
Tuen Mun,"Block 3, Aqua Blue",24/07/2022,
Tuen Mun,"Tower 1, Oceania Heights",24/07/2022,
Tuen Mun,"Block 2, Seaview Garden",24/07/2022,
Tuen Mun,"Tower 1, Pierhead Garden",24/07/2022,
Tuen Mun,"Block 1, Venice Gardens",24/07/2022,
Tuen Mun,"Block 2, Venice Gardens",24/07/2022,
Tuen Mun,"Wu Fai House, Wu King Estate",24/07/2022,
Tuen Mun,"Wu Boon House, Wu King Estate",24/07/2022,
Tuen Mun,"Wu Pik House, Wu King Estate",24/07/2022,
Tuen Mun,"Tower 1, The Laguna, The Bloomsway",24/07/2022,
Tuen Mun,"Tower 5, The Laguna, The Bloomsway",24/07/2022,
Tuen Mun,"Properland House, Affluence Garden",24/07/2022,
Tuen Mun,"Civic House, Affluence Garden",24/07/2022,
Tuen Mun,"Tower 3A, Emerald Bay",24/07/2022,
Tuen Mun,"Block 8, Peridot Court",24/07/2022,
Tuen Mun,"Tower 5, Century Gateway",24/07/2022,
Tuen Mun,"Tower 8, Century Gateway",24/07/2022,
Tuen Mun,"Tin Tun House, Tin King Estate",24/07/2022,
Tuen Mun,"Tin Yue House, Tin King Estate",24/07/2022,
Tuen Mun,"Block 10, Bauhinia Garden",24/07/2022,
Tuen Mun,"Block 3, Botania Villa",24/07/2022,
Tuen Mun,"Lok Hang Yuen, Chi Lok Fa Yuen",24/07/2022,
Tuen Mun,"Lok Cheong Yuen, Chi Lok Fa Yuen",24/07/2022,
Tuen Mun,Mai Kei Building,24/07/2022,
Tuen Mun,"Block 10, Melody Garden",24/07/2022,
Tuen Mun,"Block 5, Melody Garden",24/07/2022,
Tuen Mun,"Block 6, Melody Garden",24/07/2022,
Tuen Mun,"Block 8, Melody Garden",24/07/2022,
Tuen Mun,"Block 3, Tsui Ning Garden",24/07/2022,
Tuen Mun,"Block 5, Tsui Ning Garden",24/07/2022,
Tuen Mun,"Block 6, Tsui Ning Garden",24/07/2022,
Tuen Mun,"Tower 5, Palm Cove",24/07/2022,
Tuen Mun,Greenview,24/07/2022,
Tuen Mun,"Block 3, Beneville",24/07/2022,
Tuen Mun,Kau Hui Tsuen,24/07/2022,
Tuen Mun,"Leung Chun House, Leung King Estate",24/07/2022,
Tuen Mun,"Leung Wai House, Leung King Estate",24/07/2022,
Tuen Mun,"Leung Kit House, Leung King Estate",24/07/2022,
Tuen Mun,"Leung Wah House, Leung King Estate",24/07/2022,
Tuen Mun,"Leung Shui House, Leung King Estate",24/07/2022,
Tuen Mun,"Leung Yin House, Leung King Estate",24/07/2022,
Tuen Mun,Leung Tin Village,24/07/2022,
Tuen Mun,Choi Yuen Tsuen,24/07/2022,
Tuen Mun,Tsoi Yuen Tsuen,24/07/2022,
Tuen Mun,"Block 2, Waldorf Garden",24/07/2022,
Tuen Mun,Man Bo Building,24/07/2022,
Tuen Mun,Man Shing Building,24/07/2022,
Tuen Mun,"Tip Ying House, Butterfly Estate",24/07/2022,
Tuen Mun,"Tip Ling House, Butterfly Estate",24/07/2022,
Tuen Mun,"Tip Chui House, Butterfly Estate",24/07/2022,
Tuen Mun,"Tower 1, Goodview Garden",24/07/2022,
Tuen Mun,"Tower 4, Goodview Garden",24/07/2022,
Tuen Mun,"Tower 5, Goodview Garden",24/07/2022,
Tuen Mun,"Block 6, The Sherwood",24/07/2022,
Tuen Mun,Golden Orchid Court,24/07/2022,
Tuen Mun,"Block B, Kam Wah Garden",24/07/2022,
Tuen Mun,"Block F, Tsing Chung Koon Road Government Quarters",24/07/2022,
Tuen Mun,Sun Fung Wai,24/07/2022,
Tuen Mun,"Tower 2, Hong Kong Gold Coast",24/07/2022,
Tuen Mun,Fortune Villa,24/07/2022,
Tuen Mun,Look Yuen,24/07/2022,
Tuen Mun,Kei Lun Wai,24/07/2022,
Tuen Mun,Sun Court,24/07/2022,
Tuen Mun,"Kin Lung House, Lung Yat Estate",24/07/2022,
Tuen Mun,"Block 5, Lung Mun Oasis",24/07/2022,
Tuen Mun,"Block 6, Lung Mun Oasis",24/07/2022,
Tuen Mun,"South Wing, 2Gether",24/07/2022,
Tuen Mun,"Tower 1, Oma Oma",23/07/2022,
Tuen Mun,"Chun Yu House, Sam Shing Estate",23/07/2022,
Tuen Mun,"Tower 1A, Le Pont",23/07/2022,
Tuen Mun,"Tower 5B, Lepont",23/07/2022,
Tuen Mun,Tseng Tau Chung Tsuen,23/07/2022,
Tuen Mun,South Hillcrest,23/07/2022,
Tuen Mun,"Pak King House, Siu Shan Court",23/07/2022,
Tuen Mun,"Yue King House, Siu Shan Court",23/07/2022,
Tuen Mun,"Siu Ning House, Siu Hong Court",23/07/2022,
Tuen Mun,"Siu Sun House, Siu Hong Court",23/07/2022,
Tuen Mun,"Wan Hei House, Siu Hei Court",23/07/2022,
Tuen Mun,"Lok Hei House, Siu Hei Court",23/07/2022,
Tuen Mun,"Nga Hei House, Siu Hei Court",23/07/2022,
Tuen Mun,Siu Pong Court,23/07/2022,
Tuen Mun,"Fu Lun House, Siu Lun Court",23/07/2022,
Tuen Mun,"Sui Lun House, Siu Lun Court",23/07/2022,
Tuen Mun,"Wing Lun House, Siu Lun Court",23/07/2022,
Tuen Mun,"Fai Lun House, Siu Lun Court",23/07/2022,
Tuen Mun,"Block 4, Alpine Garden",23/07/2022,
Tuen Mun,"Block 1, Chelsea Heights",23/07/2022,
Tuen Mun,"Oi Yung House, Yau Oi Estate",23/07/2022,
Tuen Mun,"Oi Tak House, Yau Oi Estate",23/07/2022,
Tuen Mun,"Oi Yee House, Yau Oi Estate",23/07/2022,
Tuen Mun,"Block 2, Parkland Villas",23/07/2022,
Tuen Mun,"Block 4, Parkland Villas",23/07/2022,
Tuen Mun,Kar Wah Building,23/07/2022,
Tuen Mun,"Block 10, Phase 2, Tai Hing Gardens",23/07/2022,
Tuen Mun,"Block 2, Phase 2, Tai Hing Gardens",23/07/2022,
Tuen Mun,"Block 3, Phase 2, Tai Hing Gardens",23/07/2022,
Tuen Mun,"Block 8, Phase 2, Tai Hing Gardens",23/07/2022,
Tuen Mun,"Hing Ping House, Tai Hing Estate",23/07/2022,
Tuen Mun,"Hing Shing House, Tai Hing Estate",23/07/2022,
Tuen Mun,Grand Villa,23/07/2022,
Tuen Mun,"Ting Hong House, On Ting Estate",23/07/2022,
Tuen Mun,"Ting Lung House, On Ting Estate",23/07/2022,
Tuen Mun,"Block 11, Glorious Garden",23/07/2022,
Tuen Mun,"Oi Tai House, Fu Tai Estate",23/07/2022,
Tuen Mun,"Sau Tai House, Fu Tai Estate",23/07/2022,
Tuen Mun,"Block 2, Blossom Garden",23/07/2022,
Tuen Mun,"Block 3, Po Tin Estate",23/07/2022,
Tuen Mun,The Highland,23/07/2022,
Tuen Mun,Hong Ting Court,23/07/2022,
Tuen Mun,"Tower 2, Hong Tak Gardens",23/07/2022,
Tuen Mun,"Lok Sang House, Kin Sang Estate",23/07/2022,
Tuen Mun,"Block 6, Villa Tiara",23/07/2022,
Tuen Mun,"Tower 5A, Emerald Bay",23/07/2022,
Tuen Mun,"Tower 2A, Emerald Bay",23/07/2022,
Tuen Mun,"Block 1, Hanford Garden",23/07/2022,
Tuen Mun,"Block 4, Handsome Court",23/07/2022,
Tuen Mun,"Block 12, Yuet Wu Villa",23/07/2022,
Tuen Mun,"Block 2, Yuet Wu Villa",23/07/2022,
Tuen Mun,"Block 5, Yuet Wu Villa",23/07/2022,
Tuen Mun,"Tower 6, Aegean Coast",23/07/2022,
Tuen Mun,"Tower 7, Aegean Coast",23/07/2022,
Tuen Mun,"Tower 8, Aegean Coast",23/07/2022,
Tuen Mun,"Block 4, Marina Garden",23/07/2022,
Tuen Mun,"Block 10, Sun Tuen Mun Centre",23/07/2022,
Tuen Mun,"Block 2, Sun Tuen Mun Centre",23/07/2022,
Tuen Mun,"Block 4, Sun Tuen Mun Centre",23/07/2022,
Tuen Mun,"Block 7, Sun Tuen Mun Centre",23/07/2022,
Tuen Mun,"Tower 18, Ming Wong Garden",23/07/2022,
Tuen Mun,"Block D, Trend Plaza",23/07/2022,
Tuen Mun,"Tower 3, Prime View Garden",23/07/2022,
Tuen Mun,"Block C, Palm Court",23/07/2022,
Tuen Mun,Sha Po Kong,23/07/2022,
Tuen Mun,"Block 5, Aqua Blue",23/07/2022,
Tuen Mun,"Tower 2, Oceania Heights",23/07/2022,
Tuen Mun,"Tower 3, Pierhead Garden",23/07/2022,
Tuen Mun,"Wu Kwong House, Wu King Estate",23/07/2022,
Tuen Mun,"Wu Yuet House, Wu King Estate",23/07/2022,
Tuen Mun,"Block 1, Cedar, The Hillgrove",23/07/2022,
Tuen Mun,Rosedale Gardens,23/07/2022,
Tuen Mun,"Tower 1, Century Gateway",23/07/2022,
Tuen Mun,"Tower 2, Century Gateway",23/07/2022,
Tuen Mun,"Tower 6, Century Gateway",23/07/2022,
Tuen Mun,"Tower 7, Century Gateway",23/07/2022,
Tuen Mun,"Tin Lok House, Tin King Estate",23/07/2022,
Tuen Mun,"Tin Tsui House, Tin King Estate",23/07/2022,
Tuen Mun,Bayview Terrace,23/07/2022,
Tuen Mun,"Block 8, Botania Villa",23/07/2022,
Tuen Mun,"Block 3, Melody Garden",23/07/2022,
Tuen Mun,"Block 4, Melody Garden",23/07/2022,
Tuen Mun,"Block 7, Melody Garden",23/07/2022,
Tuen Mun,"Block 1, Tsui Ning Garden",23/07/2022,
Tuen Mun,"Block 4, Tsui Ning Garden",23/07/2022,
Tuen Mun,Grace Garden,23/07/2022,
Tuen Mun,"Block D, Greenland Garden",23/07/2022,
Tuen Mun,"Tower 1, Palm Cove",23/07/2022,
Tuen Mun,"Tower 3, Palm Cove",23/07/2022,
Tuen Mun,Terrace Concerto,23/07/2022,
Tuen Mun,"Block 1, Beneville",23/07/2022,
Tuen Mun,"Leung Chi House, Leung King Estate",23/07/2022,
Tuen Mun,"Leung Ying House, Leung King Estate",23/07/2022,
Tuen Mun,Villa Pinada,23/07/2022,
Tuen Mun,Wah Wan Industrial Building,23/07/2022,
Tuen Mun,"Block 5, Waldorf Garden",23/07/2022,
Tuen Mun,"Tip Sum House, Butterfly Estate",23/07/2022,
Tuen Mun,"Tower 3, Goodview Garden",23/07/2022,
Tuen Mun,"Tower 1, Ori",23/07/2022,
Tuen Mun,"Block 2, The Sherwood",23/07/2022,
Tuen Mun,"Block 3, The Sherwood",23/07/2022,
Tuen Mun,"Block 7, The Sherwood",23/07/2022,
Tuen Mun,Jockey Club Tuen Mun Home For The Aged Blind,23/07/2022,
Tuen Mun,"Tower 5, Miami Beach Towers",23/07/2022,
Tuen Mun,"Block A, Kam Wah Garden",23/07/2022,
Tuen Mun,Chung Uk Tsuen,23/07/2022,
Tuen Mun,Tsing Chuen Wai,23/07/2022,
Tuen Mun,Ching Tsui Yuen,23/07/2022,
Tuen Mun,"Pentahotel Hong Kong, Tuen Mun",23/07/2022,
Tuen Mun,"Block 5, Pearl Island Garden",23/07/2022,
Tuen Mun,"Block 3, Lung Mun Oasis",23/07/2022,
Tuen Mun,"Block 7, Lung Mun Oasis",23/07/2022,
Tuen Mun,"Moon Yu House, Sam Shing Estate",22/07/2022,
Tuen Mun,"Fung Yu House, Sam Shing Estate",22/07/2022,
Tuen Mun,"Ting Chi House, Siu On Court",22/07/2022,
Tuen Mun,"Ting Hei House, Siu On Court",22/07/2022,
Tuen Mun,"Hang King House, Siu Shan Court",22/07/2022,
Tuen Mun,"Lau King House, Siu Shan Court",22/07/2022,
Tuen Mun,"Yeung King House, Siu Shan Court",22/07/2022,
Tuen Mun,"Cheung King House, Siu Shan Court",22/07/2022,
Tuen Mun,"Siu Lok House, Siu Hong Court",22/07/2022,
Tuen Mun,"On Hei House, Siu Hei Court",22/07/2022,
Tuen Mun,"Block 2, Chelsea Heights",22/07/2022,
Tuen Mun,"Block 7, Chelsea Heights",22/07/2022,
Tuen Mun,"Block 3, Nerine Cove",22/07/2022,
Tuen Mun,"Block 2, Richland Garden",22/07/2022,
Tuen Mun,"Block 7, Phase 2, Tai Hing Gardens",22/07/2022,
Tuen Mun,"Block 10, Glorious Garden",22/07/2022,
Tuen Mun,"Block 3, Glorious Garden",22/07/2022,
Tuen Mun,"Block 4, Glorious Garden",22/07/2022,
Tuen Mun,"Block C, Phase 2, Po Tong Garden",22/07/2022,
Tuen Mun,"Block 2, Po Tin Estate",22/07/2022,
Tuen Mun,"Block 5, Po Tin Estate",22/07/2022,
Tuen Mun,"Block 39, Phase 3, Po Wah Garden",22/07/2022,
Tuen Mun,Tuen Fu Road Disciplined Services Quarters,22/07/2022,
Tuen Mun,"Block 2, Tuen Mun Town Plaza",22/07/2022,
Tuen Mun,"Block 4, Tuen Mun Town Plaza",22/07/2022,
Tuen Mun,"King Fu House, Shan King Estate",22/07/2022,
Tuen Mun,"King Mei House, Shan King Estate",22/07/2022,
Tuen Mun,"King Lai House, Shan King Estate",22/07/2022,
Tuen Mun,"Block 1, Palatial Coast, Grand Pacific View",22/07/2022,
Tuen Mun,"Block 8, Grand Pacific Heights, Palatial Coast",22/07/2022,
Tuen Mun,The Providence Garden for Rehab,22/07/2022,
Tuen Mun,"Block 1, Hong Lai Garden",22/07/2022,
Tuen Mun,"Hong Sang House, Kin Sang Estate",22/07/2022,
Tuen Mun,"Block 3, Villa Tiara",22/07/2022,
Tuen Mun,"Block 3, Harvest Garden",22/07/2022,
Tuen Mun,"Block 6, Handsome Court",22/07/2022,
Tuen Mun,"Block 3, Yuet Wu Villa",22/07/2022,
Tuen Mun,"Block 8, Yuet Wu Villa",22/07/2022,
Tuen Mun,Parkview Court,22/07/2022,
Tuen Mun,"Block 1, Marina Garden",22/07/2022,
Tuen Mun,"Block 5, Marina Garden",22/07/2022,
Tuen Mun,House in Marina Garden,22/07/2022,
Tuen Mun,"Block G, Wilhelmina Garden",22/07/2022,
Tuen Mun,So Kwun Wat San Tsuen,22/07/2022,
Tuen Mun,"Tower 1, Noble Place",22/07/2022,
Tuen Mun,"Block A, Palm Court",22/07/2022,
Tuen Mun,"Block 1, Grand Pacific Views",22/07/2022,
Tuen Mun,"Tower 4, Pierhead Garden",22/07/2022,
Tuen Mun,"Felicitous House, Affluence Garden",22/07/2022,
Tuen Mun,"Tower 1, Goodrich Garden",22/07/2022,
Tuen Mun,"Block 7, Botania Villa",22/07/2022,
Tuen Mun,"Lok Man Yuen, Chi Lok Fa Yuen",22/07/2022,
Tuen Mun,"Block 9, Melody Garden",22/07/2022,
Tuen Mun,Wah Lee Building,22/07/2022,
Tuen Mun,"Block 1, Waldorf Garden",22/07/2022,
Tuen Mun,"Tip Mo House, Butterfly Estate",22/07/2022,
Tuen Mun,"Block 11, The Sherwood",22/07/2022,
Tuen Mun,Goldilocks Garden,22/07/2022,
Tuen Mun,"Tower 6, Miami Beach Towers",22/07/2022,
Tuen Mun,Come On Building,22/07/2022,
